연번,도로명,구,동,설치위치,공기주입기 종류
1,수정로,수정구,신흥3동,신흥역 3번출구,전기식
2,수정로,수정구,신흥2동,산성역 3번출구,전기식
3,성남대로,수정구,태평1동,태평역6번출구,전기식
4,성남대로,수정구,태평1동,태평1동 주민센터,전기식
5,탄천중로,수정구,수진동,단대천교,전기식
6,중앙로,수정구,단대동,단대오거리7번 출구,태양광
7,수정로,수정구,단대동,남한산성입구역 3번출구,전기식
8,성남대로,수정구,양지동,남한산성유원지입구,전기식
9,성남대로,수정구,복정동,가천대역 1번출구,전기식
10,대왕판교로,수정구,시흥동,시흥동주민센터,태양광
11,수정로,수정구,수진동,탄천슈퍼앞,전기식
12,수정로,수정구,시흥동,수정구보건소 앞,전기식
13,위례서일로1길,수정구,창곡동,창곡천 수변공원,태양광
14,성남대로,중원구,성남동,모란역4번 출구,전기식
15,산성대로,중원구,성남동,수진역 2번출구,전기식
16,상대원동,중원구,상대원,상대원1동주민센터앞,전기식
17,성남대로,중원구,여수동,시청내 서관입구,전기식
18,공단로,중원구,하대원동,하대원주민센터,전기식
19,도촌동,중원구,도촌동,도촌동사회복지관앞,태양광
20,도촌남로,중원구,도촌동,이왕이공원,전기식
21,여수울로,중원구,여수동,사각사각 어린이공원,전기식
22,제일로,중원구,성남동,성남종합운동장,전기식
23,둔촌대로,중원구,성남동,성남동 대형주차장 입구,태양광
24,장안로,분당구,분당동,분당동 태현공원,태양광
25,분당로,분당구,분당동,당촌초등학교 옆,전기식
26,불정로,분당구,분당동,샛별중학교 앞,태양광
27,분당구,분당구,분당동,안말어린이공원,전기식
28,성남대로,분당구,수내동,수내역 고가위,전기식
29,수내로,분당구,수내동,중앙공원내,전기식
30,탄천중로,분당구,수내동,황새울 공원,전기식
31,돌마로,분당구,수내동,초림초등학교,전기식
32,돌마로,분당구,수내동,불정어린이공원,전기식
33,성남대로,분당구,정자동,정자역1번 출구,전기식
34,성남대로,분당구,정자동,정자교 상단(탄천진입로),전기식
35,분당구,분당구,정자동,늘푸른고등학교,태양광
36,성남대로,분당구,서현동,서현역 고가위,전기식
37,성남대로,분당구,서현동,분당구청 청사,태양광
38,탄천로,분당구,이매동,매송초등학교,전기식
39,성남대로,분당구,이매동,이매역 2번출구,전기식
40,성남대로,분당구,야탑동,야탑역1번 출구,전기식
41,탄천로,분당구,야탑동,탄천종합운동장(동문),전기식
42,탄천로,분당구,야탑동,만나교회뒤,전기식
43,성남대로,분당구,금곡동,미금역1번 출구,전기식
44,금곡로,분당구,금곡동,청솔초등학교,전기식
45,세계로,분당구,금곡동,궁내동(궁안마을 버스정류장),태양광
46,성남대로,분당구,구미동,오리역1번 출구,전기식
47,성남대로,분당구,구미동,불곡초등학교,태양광
48,운중로,분당구,판교동,운중동 주민센터,전기식
49,관내,분당구,판교동,청소년수련관내,전기식
50,세계로,분당구,삼평동,삼평동 주민센터,전기식
51,세계로,분당구,삼평동,나들이공원(육교밑),태양광
52,세계로,분당구,삼평동,구숯내교 위,태양광
53,서현로,분당구,백현동,백현육교,태양광
54,세계로,분당구,백현동,백현주민센터앞,전기식
55,운중로,분당구,판교동,판교 광암사거리,전기식
56,서현로,분당구,백현동,판교역1번출구,태양광
57,운중로,분당구,운중동,제2체육공원(입구),전기식
58,운중로,분당구,운중동,제1체육공원(위),전기식
59,운중로,분당구,판교동,은하교 육교,태양광
60,내정로,분당구,정자동,정든어린이공원,전기식
61,운중로,분당구,운중동,운중도서관,전기식
62,운중천,분당구,삼평동,개나리교 부근,태양광
63,돌마로,분당구,금곡동,금곡동 160-3(SH마트옆),전기식
64,이매로,분당구,이매동,이매역 3번 출구,태양광
65,판교로,분당구,야탑동,중앙도서관 정문 자전거보관소,전기식
66,양현로,분당구,이매동,이매중학교 후문 자전거보관소,전기식
67,판교역로,분당구,백현동,알파리움 1단지 앞 자전거보관소,태양광
68,중앙공원로,분당구,서현동,서현1동 행정복지센터,전기식
